Country;Male;Female
Afghanistan;1.7;5.0
Albania;16.5;17.0
Algeria;15.7;29.7
Andorra;25.5;27.0
Angola;4.3;12.6
Antigua and Barbuda;21.1;35.6
Argentina;26.7;30.1
Armenia;16.1;21.3
Australia;27.6;27.9
Austria;20.8;18.0
Azerbaijan;17.8;25.2
Bahamas;24.6;37.2
Bahrain;24.7;37.1
Bangladesh;1.8;4.9
Barbados;18.7;32.8
Belarus;20.4;23.7
Belgium;22.0;20.9
Belize;15.0;28.3
Benin;3.1;13.1
Bhutan;4.2;8.2
Bolivia;12.4;23.1
Bosnia and Herzegovina;14.0;15.8
Botswana;9.4;29.1
Brazil;17.1;24.0
Brunei Darussalam;15.3;18.5
Bulgaria;21.0;21.1
Burkina Faso;2.5;8.4
Burundi;0.8;5.2
Côte d'Ivoire;4.4;13.8
Cabo Verde;7.7;17.1
Cambodia;1.6;4.2
Cameroon;4.6;15.7
Canada;26.8;28.7
Central African Republic;1.7;7.6
Chad;3.0;10.4
Chile;24.8;32.8
China;7.4;8.2
Colombia;15.8;24.6
Comoros;2.1;10.7
Congo;4.9;13.7
Cook Islands;48.6;57.8
Costa Rica;19.1;28.5
Croatia;21.0;20.0
Cuba;17.8;29.4
Cyprus;22.4;24.6
Czechia;24.7;23.0
Democratic People's Republic of Korea;2.0;3.7
Democratic Republic of the Congo;1.8;7.6
Denmark;20.7;17.4
Djibouti;5.0;13.1
Dominica;16.6;30.8
Dominican Republic;16.0;28.5
Ecuador;14.5;23.6
Egypt, Arab Rep.;21.3;39.7
El Salvador;15.7;26.7
Equatorial Guinea;9.3;20.0
Eritrea;1.5;6.9
Estonia;20.4;20.3
Ethiopia;1.2;6.0
Fiji;24.9;35.0
Finland;21.4;19.9
France;22.0;21.9
Gabon;10.0;20.4
Gambia;4.3;13.7
Georgia;16.3;22.3
Germany;21.9;20.3
Ghana;5.3;18.3
Greece;22.2;24.3
Grenada;15.5;31.0
Guatemala;13.4;24.2
Guinea;2.6;9.9
Guinea-Bissau;3.0;10.7
Guyana;13.9;30.3
Haiti;6.7;17.0
Honduras;12.3;23.9
Hungary;23.8;20.3
Iceland;21.8;19.7
India;2.3;5.1
Indonesia;3.5;8.1
Iran, Islamic Rep.;17.1;29.7
Iraq;18.3;32.1
Ireland;25.9;25.2
Israel;23.8;26.7
Italy;21.4;21.6
Jamaica;15.2;33.0
Japan;3.7;3.0
Jordan;23.7;39.6
Kazakhstan;21.3;23.9
Kenya;2.9;11.2
Kiribati;32.8;47.0
Kuwait;32.1;43.5
Kyrgyzstan;11.4;16.7
Lao People's Democratic Republic;2.0;4.8
Latvia;22.2;23.9
Lebanon;23.1;33.9
Lesotho;4.4;25.7
Liberia;3.0;11.4
Libya;22.4;36.6
Lithuania;23.7;26.7
Luxembourg;24.3;19.5
Madagascar;2.1;7.5
Malawi;1.4;8.3
Malaysia;11.4;15.9
Maldives;5.5;10.8
Mali;3.6;10.6
Malta;26.2;28.5
Marshall Islands;38.0;51.4
Mauritania;5.3;14.6
Mauritius;10.9;23.2
Mexico;23.7;32.4
Micronesia (Federated States of);35.4;48.6
Mongolia;14.0;18.4
Montenegro;19.8;18.9
Morocco;14.3;27.8
Mozambique;1.5;8.1
Myanmar;2.0;5.4
Namibia;7.6;24.3
Nauru;46.0;56.1
Nepal;2.2;5.3
Netherlands;18.4;18.8
New Zealand;27.9;30.4
Nicaragua;12.6;25.3
Niger;1.6;7.0
Nigeria;5.3;15.4
Niue;46.6;56.3
Norway;24.1;22.2
Oman;22.7;33.5
Pakistan;4.1;8.2
Palau;45.4;55.3
Panama;19.8;30.4
Papua New Guinea;14.5;23.6
Paraguay;15.0;22.0
Peru;15.0;25.4
Philippines;4.1;7.0
Poland;22.9;23.4
Portugal;19.5;19.8
Qatar;34.0;44.8
Republic of Korea;4.6;6.0
Republic of Moldova;12.8;18.3
Romania;20.9;20.2
Russian Federation;19.6;26.2
Rwanda;1.0;6.5
Saint Kitts and Nevis;20.7;33.9
Saint Lucia;17.0;30.3
Saint Vincent and the Grenadines;16.1;29.1
Sao Tome and Principe;5.3;16.3
Saudi Arabia;28.0;40.7
Senegal;3.8;13.3
Serbia;17.6;18.0
Seychelles;14.1;30.5
Sierra Leone;3.0;12.4
Singapore;6.2;7.1
Slovakia;21.7;20.6
Slovenia;20.7;20.6
Solomon Islands;12.4;23.4
Somalia;1.9;7.0
South Africa;14.5;38.1
Spain;23.3;24.1
Sri Lanka;3.3;9.1
Sudan (former);4.2;11.7
Suriname;18.6;32.2
Swaziland;6.8;27.2
Sweden;21.4;18.6
Switzerland;21.7;17.3
Syrian Arab Republic;15.9;29.3
Tajikistan;9.2;15.6
Thailand;5.9;11.4
The former Yugoslav republic of Macedonia;17.7;18.3
Togo;2.7;11.8
Tonga;40.5;54.3
Trinidad and Tobago;20.9;34.3
Tunisia;16.5;31.6
Turkey;22.2;36.2
Turkmenistan;16.4;21.8
Tuvalu;37.4;51.8
Uganda;1.4;7.5
Ukraine;17.6;22.1
United Arab Emirates;28.1;40.8
United Kingdom;26.2;28.4
United Republic of Tanzania;2.5;10.7
United States;33.6;34.9
Uruguay;23.5;31.3
Uzbekistan;12.5;18.6
Vanuatu;17.3;28.8
Venezuela (Bolivarian Republic of);21.9;29.4
Viet Nam;1.7;3.2
Yemen;8.6;19.3
Zambia;3.5;13.5
Zimbabwe;3.7;22.7
